ticker,MSFT > GOOGL  (+4 %),NVDA = 28 %/an,Tech > Énergie (+5 %)
AAPL,-2.91677875301888e-05,0.0005347495634218025,-0.014247105215306716
MSFT,0.0016550815982376216,3.658592988921692e-05,-0.008342154234856073
GOOGL,-0.0019134934000355852,-0.0003508569894980523,-0.004146037861833715
NVDA,-8.505737048222084e-05,-0.020300002528924922,-0.013605647104859219
JPM,3.6009882469280166e-05,0.0004516973927447083,-0.00011756748879271898
BRK-B,6.37854048367667e-05,-7.7927829534116e-05,0.00038371954628320013
JNJ,4.339732014421504e-05,-7.63392670114092e-05,-0.00018892966618188278
UNH,4.7615907372380815e-05,0.00024147798299460014,-0.001101448503367475
AMZN,-0.00012617639916544577,0.00017647453020769072,-0.0008065147981567174
XOM,0.0002457971921693522,-0.0026206157827790635,0.03675800983227877
